Organization Type,Sponsorship Category Name,Organization,Sponsorship Category,Year,Initial Allocation ($)
External,PUBLICATION GROUPS,Perspective Magazine,PUB,20,3290.00
External,PUBLICATION GROUPS,"Smart Ass, The",PUB,16,3000.00
External,PUBLICATION GROUPS,Spoon University at Berkeley,PUB,4,1100.00
External,PUBLICATION GROUPS,The B-Side,PUB,5,770.00
External,PUBLICATION GROUPS,The Folio: English Academic (TF),PUB,6,750.00
External,PUBLICATION GROUPS,The Public Health Advocate,PUB,13,1100.00
External,PUBLICATION GROUPS,The Rhetoric Society at Berkeley,PUB,2,400.00
External,PUBLICATION GROUPS,The Rhetoric Undergraduate Journal,PUB,1,700.00
External,PUBLICATION GROUPS,Threads (formerly Al-Bayan),PUB,17,8100.00
External,PUBLICATION GROUPS,To An Unknown God (TAUG),PUB,9,2900.00
External,PUBLICATION GROUPS,Undergraduate Journal of Classics at Berkeley,PUB,3,1100.00
External,PUBLICATION GROUPS,"Visual Development, Illustration, and Storytelling Arts",PUB,1,700.00
External,PUBLICATION GROUPS,Heuristic Squelch ,PUB,21,1500.00
External,STUDENT ACTIVITY GROUPS,Surfrider Foundation Club,SAG,3,200.00
External,STUDENT ACTIVITY GROUPS,180 Degrees Consulting at Berkeley,SAG,2,500.00
External,STUDENT ACTIVITY GROUPS,3DMC,SAG,5,0.00
External,STUDENT ACTIVITY GROUPS,"A.S.T.R.O - Astronomer's Society for Teaching, Recreation and Outreach",SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Acts2Fellowship,SAG,16,3000.00
External,STUDENT ACTIVITY GROUPS,Afghan Student Association,SAG,10,1200.00
External,STUDENT ACTIVITY GROUPS,AFX Dance,SAG,5,1200.00
External,STUDENT ACTIVITY GROUPS,Align: Undergraduate Society for Computational Biology,SAG,2,400.00
External,STUDENT ACTIVITY GROUPS,Alpha Epsilon Zeta,SAG,13,1800.00
External,STUDENT ACTIVITY GROUPS,Alpha Kappa Psi,SAG,7,1580.00
External,STUDENT ACTIVITY GROUPS,Alpha Phi Omega (APO),SAG,32,3500.00
External,STUDENT ACTIVITY GROUPS,American Advertising Federation,SAG,2,400.00
External,STUDENT ACTIVITY GROUPS,American Chemical Society at Berkeley Student Chapter,SAG,2,380.00
External,STUDENT ACTIVITY GROUPS,American Institute of Aeronautics and Astronautics,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,American Medical Student Association,SAG,19,650.00
External,STUDENT ACTIVITY GROUPS,American Medical Women's Association at Berkeley,SAG,2,400.00
External,STUDENT ACTIVITY GROUPS,American Society of Civil Engineers,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,Arab Student Union,SAG,6,1200.00
External,STUDENT ACTIVITY GROUPS,Armenian Students' Association,SAG,35,2000.00
External,STUDENT ACTIVITY GROUPS,Army ROTC Cadet Club,SAG,1,500.00
External,STUDENT ACTIVITY GROUPS,Artists in Resonance,SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,Ascend,SAG,9,300.00
External,STUDENT ACTIVITY GROUPS,Asian American Association,SAG,20,7400.00
External,STUDENT ACTIVITY GROUPS,Asian American Christian Fellowship,SAG,4,400.00
External,STUDENT ACTIVITY GROUPS,Association for Muslim Professional Development,SAG,11,1400.00
External,STUDENT ACTIVITY GROUPS,Autofocus,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,Autonomous Underwater Vehicles Team at Berkeley,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,Azaad,SAG,5,1000.00
External,STUDENT ACTIVITY GROUPS,Backgammon League of Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Ballet Company at Berkeley,SAG,6,600.00
External,STUDENT ACTIVITY GROUPS,Ballet Folklorico Reflejos De Mexico,SAG,5,980.00
External,STUDENT ACTIVITY GROUPS,Bay Area Engineering Consultancy,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,Berkeley Ballroom Dancers,SAG,3,400.00
External,STUDENT ACTIVITY GROUPS,Berkeley Carillon Guild,SAG,14,500.00
External,STUDENT ACTIVITY GROUPS,Berkeley Chinese Students and Scholars Association,SAG,11,1300.00
External,STUDENT ACTIVITY GROUPS,Berkeley College Republicans,SAG,22,5000.00
External,STUDENT ACTIVITY GROUPS,Berkeley Energy & Resources Collaborative,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Berkeley Indonesian Student Association,SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,Berkeley Model United Nations,SAG,3,0.00
External,STUDENT ACTIVITY GROUPS,Berkeley Urban Studies Student Association,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,Berkeley Water Group Idea Lab,SAG,2,500.00
External,STUDENT ACTIVITY GROUPS,Berkeley Women in Business,SAG,14,500.00
External,STUDENT ACTIVITY GROUPS,BerkOp (Berkeley Opinion),SAG,1,650.00
External,STUDENT ACTIVITY GROUPS,Best Laid Plans,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Beta Alpha Psi,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,Beyond Academia,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,Black Engineering and Science Student Association,SAG,3,0.00
External,STUDENT ACTIVITY GROUPS,Black Recruitment and Retention Center,SAG,35,50300.00
External,STUDENT ACTIVITY GROUPS,Black Student Union,SAG,8,500.00
External,STUDENT ACTIVITY GROUPS,Black Students in Health Association,SAG,2,200.00
External,STUDENT ACTIVITY GROUPS,Blockchain at Berkeley,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,Board Games at Berkeley,SAG,1,500.00
External,STUDENT ACTIVITY GROUPS,Bridge Year to Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,BridgeUSA at Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Business Careers in Entertainment Club,SAG,4,800.00
External,STUDENT ACTIVITY GROUPS,Cal Actuarial League,SAG,13,450.00
External,STUDENT ACTIVITY GROUPS,Cal American Civil Liberties Union,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Cal Berkeley Democrats,SAG,20,4200.00
External,STUDENT ACTIVITY GROUPS,Cal Dragon Boat,SAG,14,2500.00
External,STUDENT ACTIVITY GROUPS,Cal Hawaii Club,SAG,29,3400.00
External,STUDENT ACTIVITY GROUPS,Cal Hiking and Outdoor Society,SAG,69,5000.00
External,STUDENT ACTIVITY GROUPS,Cal in the Capital,SAG,40,3750.00
External,STUDENT ACTIVITY GROUPS,Cal Japan Club,SAG,10,300.00
External,STUDENT ACTIVITY GROUPS,Cal Opportunity Scholars Association,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Cal Performances Student Ambassadors for the Arts,SAG,4,500.00
External,STUDENT ACTIVITY GROUPS,Cal Pre-Vet Club,SAG,8,200.00
External,STUDENT ACTIVITY GROUPS,Cal Super Mileage Vehicle,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Cal Taiko,SAG,13,4000.00
External,STUDENT ACTIVITY GROUPS,Cal Undergraduate Public Health Coalition,SAG,14,600.00
External,STUDENT ACTIVITY GROUPS,California Health Professional Student Alliance,SAG,1,500.00
External,STUDENT ACTIVITY GROUPS,California Mock Trial,SAG,17,17500.00
External,STUDENT ACTIVITY GROUPS,Californium Brewing and Winemaking,SAG,4,480.00
External,STUDENT ACTIVITY GROUPS,CalSlam,SAG,13,600.00
External,STUDENT ACTIVITY GROUPS,Career Attainment in Responsible Enterprises,SAG,1,500.00
External,STUDENT ACTIVITY GROUPS,Catholic Students at Cal - Newman Hall,SAG,6,500.00
External,STUDENT ACTIVITY GROUPS,Chinese A Cappella at Berkeley,SAG,4,500.00
External,STUDENT ACTIVITY GROUPS,Chinese Finance Club,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Chinese People Union,SAG,14,1500.00
External,STUDENT ACTIVITY GROUPS,Chinese Psychology Group at Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Chinese Student Association,SAG,28,6000.00
External,STUDENT ACTIVITY GROUPS,Cinebears,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,Circle K International,SAG,23,4500.00
External,STUDENT ACTIVITY GROUPS,Civil & Environmental Engineering Joint Fundraising Committee,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,"Coalition to Defend Affirmative Action, Integration, and Immigrant Rights and Fight for Equality By Any Means Necessary",SAG,19,3500.00
External,STUDENT ACTIVITY GROUPS,CodeBase,SAG,2,0.00
External,STUDENT ACTIVITY GROUPS,Cognitive Science Student Association,SAG,6,500.00
External,STUDENT ACTIVITY GROUPS,Colombians at Berkeley,SAG,4,500.00
External,STUDENT ACTIVITY GROUPS,Committee for Korea Studies,SAG,13,1000.00
External,STUDENT ACTIVITY GROUPS,Computer Science Undergraduate Association,SAG,43,2300.00
External,STUDENT ACTIVITY GROUPS,Conservation and Resource Studies Student Organization,SAG,7,400.00
External,STUDENT ACTIVITY GROUPS,Consult Your Community (CYC) at Berkeley,SAG,5,900.00
External,STUDENT ACTIVITY GROUPS,Creative Applications to Life in Origami,SAG,6,400.00
External,STUDENT ACTIVITY GROUPS,Crossroads Dance Team,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,CS Kickstart,SAG,5,0.00
External,STUDENT ACTIVITY GROUPS,Curling Club at Berkeley,SAG,5,600.00
External,STUDENT ACTIVITY GROUPS,Danceworx,SAG,21,3430.00
External,STUDENT ACTIVITY GROUPS,Data Science Society at Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Debate Society of Berkeley,SAG,6,466.00
External,STUDENT ACTIVITY GROUPS,DeCadence,SAG,17,2150.00
External,STUDENT ACTIVITY GROUPS,Delta Kappa Alpha,SAG,2,0.00
External,STUDENT ACTIVITY GROUPS,Delta Sigma Pi,SAG,11,1300.00
External,STUDENT ACTIVITY GROUPS,Delta Xi Phi Multicultural Sorority,SAG,1,600.00
External,STUDENT ACTIVITY GROUPS,Democratic Education at Cal (DeCal),SAG,36,5000.00
External,STUDENT ACTIVITY GROUPS,Department of Integrative Biology Students,SAG,3,100.00
External,STUDENT ACTIVITY GROUPS,Dil Se,SAG,2,0.00
External,STUDENT ACTIVITY GROUPS,Drawn to Scale,SAG,7,600.00
External,STUDENT ACTIVITY GROUPS,East Asian Union,SAG,8,1900.00
External,STUDENT ACTIVITY GROUPS,Eggster Organization,SAG,17,1100.00
External,STUDENT ACTIVITY GROUPS,EGO (Cal's Traditional Korean Percussion Group),SAG,7,1000.00
External,STUDENT ACTIVITY GROUPS,Engineering Solutions at Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Engineering Student Council,SAG,26,77000.00
External,STUDENT ACTIVITY GROUPS,English Undergraduate Association,SAG,25,300.00
External,STUDENT ACTIVITY GROUPS,eSports at Berkeley,SAG,6,850.00
External,STUDENT ACTIVITY GROUPS,Fashion and Student Trends,SAG,6,500.00
External,STUDENT ACTIVITY GROUPS,Fei Tian Dancers,SAG,14,500.00
External,STUDENT ACTIVITY GROUPS,Fellowship in Christ in Berkeley,SAG,12,300.00
External,STUDENT ACTIVITY GROUPS,Food Science and Tech at Cal,SAG,4,0.00
External,STUDENT ACTIVITY GROUPS,"Food, Equity, Entrepreneurship, & Development",SAG,2,400.00
External,STUDENT ACTIVITY GROUPS,FoodInno,SAG,2,400.00
External,STUDENT ACTIVITY GROUPS,Foresight Pre-Optometry Club,SAG,26,1175.00
External,STUDENT ACTIVITY GROUPS,Free Ventures,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Freshman and Sophomore Business Club,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Friends of the Co-ops,SAG,85,10000.00
External,STUDENT ACTIVITY GROUPS,"Future Business Leaders of America-Phi Beta Lambda, Inc. (Berkeley PBL)",SAG,12,1700.00
External,STUDENT ACTIVITY GROUPS,Future Physicians at Berkeley,SAG,1,380.00
External,STUDENT ACTIVITY GROUPS,Geological Association at Berkeley,SAG,2,250.00
External,STUDENT ACTIVITY GROUPS,Global Internships @ Berkeley,SAG,4,300.00
External,STUDENT ACTIVITY GROUPS,Golden Bear Competitive Bhangra,SAG,4,0.00
External,STUDENT ACTIVITY GROUPS,Golden Paw Productions,SAG,4,400.00
External,STUDENT ACTIVITY GROUPS,Golden Squares,SAG,4,500.00
External,STUDENT ACTIVITY GROUPS,Golden Women,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,Haas Undergraduate Black Business Association,SAG,10,400.00
External,STUDENT ACTIVITY GROUPS,Hermanos Unidos,SAG,12,955.00
External,STUDENT ACTIVITY GROUPS,Hindu Students Council (HSC),SAG,10,1400.00
External,STUDENT ACTIVITY GROUPS,Hong Kong Student Association,SAG,25,2400.00
External,STUDENT ACTIVITY GROUPS,Horn of Africa Student Association,SAG,4,600.00
External,STUDENT ACTIVITY GROUPS,Human Capital Group,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Indian Students Association,SAG,14,7600.00
External,STUDENT ACTIVITY GROUPS,Indus,SAG,29,13700.00
External,STUDENT ACTIVITY GROUPS,International Students Association At Berkeley,SAG,17,1700.00
External,STUDENT ACTIVITY GROUPS,InterVarsity Christian Fellowship,SAG,19,4000.00
External,STUDENT ACTIVITY GROUPS,Intro to Surgery,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Invention Corps of Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Iranian Students Cultural Organization,SAG,20,2000.00
External,STUDENT ACTIVITY GROUPS,Irish Dancers of Berkeley,SAG,4,500.00
External,STUDENT ACTIVITY GROUPS,Italian Society at Berkeley,SAG,17,1200.00
External,STUDENT ACTIVITY GROUPS,Jain Students Association,SAG,1,500.00
External,STUDENT ACTIVITY GROUPS,Jericho!,SAG,1,900.00
External,STUDENT ACTIVITY GROUPS,Juggers of the Seven Regents,SAG,1,300.00
External,STUDENT ACTIVITY GROUPS,Kappa Gamma Delta,SAG,15,1100.00
External,STUDENT ACTIVITY GROUPS,Kappa Alpha Pi,SAG,4,3500.00
External,STUDENT ACTIVITY GROUPS,Kendo Club,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Kink Club,SAG,1,5400.00
External,STUDENT ACTIVITY GROUPS,Klesis,SAG,7,733.00
External,STUDENT ACTIVITY GROUPS,Koinonia Campus Fellowship,SAG,13,1250.00
External,STUDENT ACTIVITY GROUPS,Korean American Student Association,SAG,36,19300.00
External,STUDENT ACTIVITY GROUPS,Korean Performance Group,SAG,2,400.00
External,STUDENT ACTIVITY GROUPS,Korean Pre-Health Association,SAG,2,100.00
External,STUDENT ACTIVITY GROUPS,Korean Undergraduate Networking Association,SAG,10,500.00
External,STUDENT ACTIVITY GROUPS,Korean-American Scientists and Engineers Association,SAG,2,400.00
External,STUDENT ACTIVITY GROUPS,La Dolce Vita Italian Studies Club,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,Latin American Leadership Society,SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,Latino Pre-Law Society,SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,Latinx Emerging in English,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Launchpad,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Lawyers Without Borders Student Division at UC Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Le Cercle Francais of Berkeley,SAG,10,400.00
External,STUDENT ACTIVITY GROUPS,Liberty in North Korea Berkeley Chapter,SAG,13,800.00
External,STUDENT ACTIVITY GROUPS,Lindy on Sproul,SAG,7,1100.00
External,STUDENT ACTIVITY GROUPS,"Magic Club, The",SAG,2,400.00
External,STUDENT ACTIVITY GROUPS,Main Stacks Dance Team,SAG,9,1500.00
External,STUDENT ACTIVITY GROUPS,Mariachi Luz de Oro,SAG,6,500.00
External,STUDENT ACTIVITY GROUPS,Marketing Community at Berkeley,SAG,4,500.00
External,STUDENT ACTIVITY GROUPS,Materials Science and Engineering Association,SAG,4,0.00
External,STUDENT ACTIVITY GROUPS,Mathematical Undergraduate Student Association,SAG,1,500.00
External,STUDENT ACTIVITY GROUPS,Mexican Association of Students at Berkeley,SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,Molecular and Cell Biology Cell Neurobiological Association,SAG,4,500.00
External,STUDENT ACTIVITY GROUPS,Molecular and Cell Biology Undergraduate Student Association,SAG,4,500.00
External,STUDENT ACTIVITY GROUPS,"Movement, The",SAG,17,3500.00
External,STUDENT ACTIVITY GROUPS,Muslim Student Association,SAG,31,14400.00
External,STUDENT ACTIVITY GROUPS,National Organization for Women,SAG,17,1200.00
External,STUDENT ACTIVITY GROUPS,Natya at Berkeley,SAG,4,315.00
External,STUDENT ACTIVITY GROUPS,Nazakat at Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Net Impact at Berkeley,SAG,16,0.00
External,STUDENT ACTIVITY GROUPS,Next Generation Consulting at Berkeley,SAG,2,400.00
External,STUDENT ACTIVITY GROUPS,Nikkei Choral Ensemble,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Nikkei Student Union,SAG,15,1500.00
External,STUDENT ACTIVITY GROUPS,Olive Tree Initiative,SAG,7,800.00
External,STUDENT ACTIVITY GROUPS,Organization of African Students at Berkeley,SAG,3,400.00
External,STUDENT ACTIVITY GROUPS,Out for Business at Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,"Out in Science, Technology, Engineering, and Mathematics",SAG,7,0.00
External,STUDENT ACTIVITY GROUPS,Outlet,SAG,4,400.00
External,STUDENT ACTIVITY GROUPS,Pakistani Student Association,SAG,15,1000.00
External,STUDENT ACTIVITY GROUPS,Parliamentary Debate at Berkeley [formerly Speech and Debate at Berkeley],SAG,8,2234.00
External,STUDENT ACTIVITY GROUPS,Pars Network at Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Partnership for Pre-Professional Pilipinos,SAG,17,1000.00
External,STUDENT ACTIVITY GROUPS,PartySafe at Cal,SAG,5,500.00
External,STUDENT ACTIVITY GROUPS,Phalanx: Pre-Medical Consulting,SAG,4,500.00
External,STUDENT ACTIVITY GROUPS,"Phi Alpha Delta Law Fraternity, International",SAG,9,400.00
External,STUDENT ACTIVITY GROUPS,Phi Alpha Theta,SAG,4,600.00
External,STUDENT ACTIVITY GROUPS,Phi Chi Pre-Health Fraternity,SAG,7,600.00
External,STUDENT ACTIVITY GROUPS,Phi Delta Epsilon,SAG,10,500.00
External,STUDENT ACTIVITY GROUPS,Phi Sigma Pi National Honor Fraternity (PSP),SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,Phoenix Consulting Group,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,Phoenix Symphony at Berkeley,SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,Pi Sigma Epsilon,SAG,5,900.00
External,STUDENT ACTIVITY GROUPS,Pi Tau Sigma,SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,Pilipino American Alliance,SAG,27,8500.00
External,STUDENT ACTIVITY GROUPS,Pilipino Association for Health Careers,SAG,25,2500.00
External,STUDENT ACTIVITY GROUPS,"Pilipino Association of Scientists, Architects, and Engineers (PASAE)",SAG,29,1300.00
External,STUDENT ACTIVITY GROUPS,Pilipino Basketball Association,SAG,2,100.00
External,STUDENT ACTIVITY GROUPS,Pointe of Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Pokemon Club at Berkeley,SAG,5,500.00
External,STUDENT ACTIVITY GROUPS,Portraits of Kindness at Berkeley,SAG,5,500.00
External,STUDENT ACTIVITY GROUPS,PreDental Society (PDS),SAG,34,850.00
External,STUDENT ACTIVITY GROUPS,Pre-Medical Honor Society,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,Pre-Nursing Society,SAG,5,450.00
External,STUDENT ACTIVITY GROUPS,Pre-Pharmacy Informational Learning and Leadership Society,SAG,17,2000.00
External,STUDENT ACTIVITY GROUPS,Progressive Student Association,SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,"Project Pengyou, Berkeley Chapter",SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,Psi Chi,SAG,11,200.00
External,STUDENT ACTIVITY GROUPS,Quidditch League at Berkeley,SAG,9,0.00
External,STUDENT ACTIVITY GROUPS,Raas at Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Ra-On,SAG,7,533.00
External,STUDENT ACTIVITY GROUPS,Re-Entry and Transfer Student Association,SAG,20,1200.00
External,STUDENT ACTIVITY GROUPS,Regents' and Chancellor's Scholars Association,SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,Rising Immigrant Scholars through Education,SAG,9,5000.00
External,STUDENT ACTIVITY GROUPS,Robotics at Berkeley,SAG,3,0.00
External,STUDENT ACTIVITY GROUPS,Rubik's Cube Club at Berkeley,SAG,6,317.00
External,STUDENT ACTIVITY GROUPS,Russian Student Association,SAG,12,500.00
External,STUDENT ACTIVITY GROUPS,SACNAS at Berkeley: Undergraduate Chapter,SAG,5,533.00
External,STUDENT ACTIVITY GROUPS,Salsa at Cal,SAG,6,700.00
External,STUDENT ACTIVITY GROUPS,Sather Health: Issues in Student Health,SAG,6,491.00
External,STUDENT ACTIVITY GROUPS,Seed Base Consulting,SAG,1,100.00
External,STUDENT ACTIVITY GROUPS,Sigma Alpha Nu,SAG,7,275.00
External,STUDENT ACTIVITY GROUPS,Sigma Eta Pi,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Sigma Iota Rho: International & Area Studies Honor Society,SAG,4,500.00
External,STUDENT ACTIVITY GROUPS,Sigma Mu Delta,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,"Sigma Psi Zeta Sorority, Inc.",SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,Sikh Students Association,SAG,13,1034.00
External,STUDENT ACTIVITY GROUPS,Smash at Berkeley,SAG,2,300.00
External,STUDENT ACTIVITY GROUPS,Socially Engaged Engineers,SAG,1,0.00
External,STUDENT ACTIVITY GROUPS,Society of Asian Scientists and Engineers (SASE),SAG,6,0.00
External,STUDENT ACTIVITY GROUPS,Sociological Research Symposium Committee,SAG,4,500.00
External,STUDENT ACTIVITY GROUPS,Songwriting at Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,South Asians for Social Justice,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,South Indian Society,SAG,2,400.00
External,STUDENT ACTIVITY GROUPS,Speech at Berkeley,SAG,5,750.00
External,STUDENT ACTIVITY GROUPS,SPIRE,SAG,3,600.00
External,STUDENT ACTIVITY GROUPS,Sports Business Club at Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Steel Bridge Competition Team,SAG,3,0.00
External,STUDENT ACTIVITY GROUPS,Strait Talk,SAG,10,1200.00
External,STUDENT ACTIVITY GROUPS,Students for Hip Hop,SAG,17,5634.00
External,STUDENT ACTIVITY GROUPS,Students for Justice in Palestine,SAG,11,950.00
External,STUDENT ACTIVITY GROUPS,Students for Life at Berkeley,SAG,19,1900.00
External,STUDENT ACTIVITY GROUPS,Students for Sensible Drug Policy UC Berkeley Chapter,SAG,7,600.00
External,STUDENT ACTIVITY GROUPS,Students For Social Change,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Students Organize For Syria,SAG,2,400.00
External,STUDENT ACTIVITY GROUPS,Students United for Reproductive Justice at Berkeley,SAG,2,400.00
External,STUDENT ACTIVITY GROUPS,Surf Team at Berkeley,SAG,7,600.00
External,STUDENT ACTIVITY GROUPS,T.I.n.Y. Chinese Drama and Entertainment Company,SAG,2,400.00
External,STUDENT ACTIVITY GROUPS,Taiwanese American Student Association,SAG,21,2200.00
External,STUDENT ACTIVITY GROUPS,Taiwanese Student Association,SAG,21,2700.00
External,STUDENT ACTIVITY GROUPS,TBD Comedy,SAG,4,500.00
External,STUDENT ACTIVITY GROUPS,Telegraph Green,SAG,1,200.00
External,STUDENT ACTIVITY GROUPS,Thai Students Association,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,The Bearettes Drill Team at Berkeley,SAG,2,400.00
External,STUDENT ACTIVITY GROUPS,The Berkeley Forum,SAG,6,5000.00
External,STUDENT ACTIVITY GROUPS,The Californians,SAG,15,2100.00
External,STUDENT ACTIVITY GROUPS,The Classical Forum,SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,The Lobby Days Coalition at Berkeley,SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,Theatrical,SAG,2,0.00
External,STUDENT ACTIVITY GROUPS,Thrive Dance Company,SAG,5,500.00
External,STUDENT ACTIVITY GROUPS,Tikvah: Students for Israel,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Tiny House in My Backyard,SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,Turkish Student Association of Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,UC Berkeley Model United Nations,SAG,25,8900.00
External,STUDENT ACTIVITY GROUPS,UC Jazz Ensembles,SAG,30,2500.00
External,STUDENT ACTIVITY GROUPS,UC Rally Committee,SAG,117,36500.00
External,STUDENT ACTIVITY GROUPS,ULAB: Undergraduate Laboratory at Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Undergraduate Communications Association,SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,Undergraduate Composers Club,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Undergraduate Economics Association,SAG,17,600.00
